Customer,full_addy,Latitude,Longitude,Partner,Current
Sodexo @ TCC MORETTI CAFE,"7700 POTRANCO RD, SAN ANTONIO, TEXAS",29.447319,-98.64093001,Sodexo,0
Sodexo @ Liberty Mutual Plano | Plano TX,"7900 WINDROSE AVE, PLANO, TEXAS",33.08537,-96.82509697,Sodexo,0
Sodexo @ HCA - MAINLAND CENTER | Texas City TX,"6801 EMMETT F LOWRY EXPY, TEXAS CITY, TX",29.39409199,-94.98589703,Sodexo,0
Sodexo @  HCA - KINGWOOD MEDICAL,"22999 US-59 N, KINGWOOD, TX",30.05048485,-95.25299772,Sodexo,0
Sodexo @ Charles Schwab Austin Cafe,"501 CONGRESS AVENUE, AUSTIN, TX",30.26729498,-97.74262301,Sodexo,0
Sodexo @ Promedica Heartland Pitts Penn,"750 HOLIDAY DR #110, PITTSBURGH, PA",40.42299599,-80.06406603,Sodexo,0
Sodexo Magic @ Delta Sky Club,"6000 N TERMINAL PKWY, ATLANTA, GA",33.64029599,-84.43972501,Sodexo,0
Sodexo at Delta Air Lines Training Center,"6000 N TERMINAL PKWY, ATLANTA, GA",33.64029599,-84.43972501,Sodexo,0
Sodexo Environmental Svc.@ Eckerd College,"4200 54TH AVE S, ST.PETERSBURG, FL",27.713969,-82.68667997,Sodexo,0
HSG - Sodexo @ Prairie View A&M University,"100 UNIVERSITY DR, PRAIRIE VIEW, TX",30.0734523,-95.99280016,Sodexo,0
HSG - Sodexo @ Ohio Dominican University,"1216 SUNBURY RD, COLUMBUS, OH",39.99260601,-82.94071601,Sodexo,0
HSG - Sodexo @ Delta Sky Club (Austin),"3600 PRESIDENTIAL BLVD, AUSTIN, TX",30.20215699,-97.66752501,Sodexo,1
Sodexo-Webster University,"470 E LOCKWOOD AVE, ST. LOUIS, MO",38.59078899,-90.34544602,Sodexo,0
Sodexo @ Beacon College,"105 E MAIN ST, LEESBURG, FL",28.81077799,-81.87480103,Sodexo,0
Anserteam @ NetJets,"4151 BRIDGEWAY AVE, COLUMBUS, OH",40.00644202,-82.89761098,Sodexo,1
TCU (Sodexo),"2800 S UNIVERSITY DR, FT WORTH, TX",32.71112502,-97.361376,Sodexo,0
Sodexo @ Concordia University Ann Arbor,"4090 GEDDES RD, ANN ARBOR, MI",42.27342199,-83.68236499,Sodexo,0
Anserteam @ Houston Museum of Natural Science,"5555 HERMANN PARK DR, HOUSTON, TX",29.72211999,-95.38960402,Sodexo,1
Anserteam @ OCLC Conference Center,"6600 KLIGOUR PL, DUBLIN, OH",40.10407602,-83.12236199,Sodexo,1
Anserteam @ KeyBank Tiedeman,"4910 TIEDEMAN RD, BROOKLYN, OH",41.42511263,-81.760926,Sodexo,0
Anserteam @ GE Aviation,"1 NEUMANN WAY, CINCINNATI, OH",39.23783902,-84.44312999,Sodexo,1
Sodexo Magic @ Delta Sky Club (Austin),"3600 PRESIDENTIAL BLVD, AUSTIN, TX",30.20215699,-97.66752501,Sodexo,0
University of Missouri St. Louis for Sodexo,"1 UNIVERSITY BLVD, ST. LOUIS, MO",38.70771101,-90.31062097,Sodexo,0
Sodexo @ Online Computer Library Center,"6565 KILGOUR PL, DUBLIN, OH",40.10258199,-83.12691404,Sodexo,0
Sodexo @ Arizona State University,"350 E LEMON ST, TEMPE, AZ",33.4161673,-111.9333187,Sodexo,0
Sodexo @ Desert Willow Conference Center,"4340 E COTTON CENTER BLVD, PHOENIX, AZ",33.40323649,-111.9893057,Sodexo,0
Anserteam @ Sodexo Magic @ Delta Sky Club (Fort Lauderdale),"100 TERMINAL DR, FORT LAUDERDALE, FL",26.07298099,-80.14338298,Sodexo,1
Sodexo @ St Luke's 6720 Bertner,"6720 BERTNER AVE, HOUSTON, TX",29.708604,-95.40024702,Sodexo,0
Inspired Living Delray Beach - Sodexo,"14100 VIA FLORA, DELRAY BEACH, FL",26.46761801,-80.13624503,Sodexo,0
Sodexo @ Texas Lutheran University,"1000 W COURT ST, SEGUIN, TX",29.56956902,-97.98416297,Sodexo,1
Anserteam @ Sodexo Environmental Svc Eckerd College,"4200 54TH AVE S, ST.PETERSBURG, FL",27.713969,-82.68667997,Sodexo,0
DELTA SKY CLUB MCO- Sodexo,"1 AIRPORT BLVD, ORLANDO, FL",28.43945332,-81.31142975,Sodexo,0
Hollywood's Studios Take 5 Cafe- Sodexo,"1375 E BUENA VISTA DR, LAKE BUENA VISTA, FL",28.36552899,-81.52133098,Sodexo,0
Sodexo @ St. David's Austin,"919 E 32ND ST, AUSTIN, TX",30.28988999,-97.725882,Sodexo,0
Sodexo @ HCA West Houston,"12141 RICHMOND AVE, HOUSTON, TX",29.729205,-95.59457097,Sodexo,0
Sodexo @ North Austin Medical Center,"12221 N MOPAC EXPY, AUSTIN, TX",30.41227918,-97.70794308,Sodexo,0
Sodexo @ Central Texas Laundry,"4255 PROFIT DR, SAN ANTONIO, TX",29.44283061,-98.4130576,Sodexo,0
Sodexo @ Chevron Houston (Facilities),"3901 BRIARPARK DR, HOUSTON, TX",29.72136201,-95.54819901,Sodexo,0
Sodexo @ HCA Woman's Houston,"7600 FANNIN ST, HOUSTON, TX",29.69328301,-95.4023,Sodexo,0
Sodexo @ ERC Dallas Legacy,"5120 LEGACY DR, PLANO, TX",33.07079001,-96.80179897,Sodexo,0
Anserteam @ Austin Eating Recovery Center,"12221 RENFERT WAY STE 250, AUSTIN, TX",30.41163001,-97.70359301,Sodexo,0
Sodexo @ Harland Clarke,"5800 NORTHWEST PKWY, SAN ANTONIO, TX",29.55195,-98.59652604,Sodexo,0
Sodexo @ Autoclub -- Coppell,"1225 FREEPORT PKWY, COPPELL, TX",32.93880001,-97.009254,Sodexo,0
Sodexo @ USAA San Antonio,"9800 FREDERICKSBURG RD, SAN ANTONIO, TX",29.53455102,-98.573006,Sodexo,0
Sodexo @ BAE Systems Austin,"6500 TRACOR LN, AUSTIN, TX",30.27776901,-97.661368,Sodexo,0
Sodexo @ Arizona State University Athletics,"500 E VETERANS WAY, TEMPE, AZ",33.4251014,-111.9330832,Sodexo,0
Anserteam @ Sodexo Inspired Living at Sugar Land,"6400 OILFIELD RD, SUGAR LAND, TX",29.55100499,-95.57152401,Sodexo,0
Sodexo @ St. Thomas University,"3800 MONTROSE BLVD, HOUSTON, TX",29.73821999,-95.39165398,Sodexo,1
Sodexo @ Southwestern University,"1001 E UNIVERSITY AVE, GEORGETOWN, TX",30.63385736,-97.66757002,Sodexo,0
Anserteam @ Lynn University,"3601 N MILITARY TRL, BOCA RATON, FL",26.38456999,-80.12553397,Sodexo,0
Sodexo at BROADCOM DULUTH,"4385 RIVER GREEN PKWY, DULUTH, GA",34.02093502,-84.16678501,Sodexo,0
Sodexo at ALCON - JOHNS CREEK,"11460 JOHNS CREEK PKWY, DULUTH, GA",34.05527719,-84.17109315,Sodexo,0
Sodexo at Boehringer Duluth,"3239 SATELLITE BLVD NW, DULUTH, GA",33.96435801,-84.11916399,Sodexo,0
Sodexo at DHL Food Operations,"1635 STONERIDGE DR, STONE MOUNTAIN, GA",33.83053401,-84.18966199,Sodexo,0
Anserteam @ Jackson Memorial Hospital,"1611 NW 12TH AVE, MIAMI, FL",25.791938,-80.21269897,Sodexo,0
Anserteam @ Friedkin Group (Sodexo),"1375 ENCLAVE PKWY, HOUSTON, TX",29.75915501,-95.61775297,Sodexo,0
Anserteam @ Frito Lay Plano (Sodexo),"7701 LEGACY DR, PLANO, TX",33.07752202,-96.83996596,Sodexo,0
HSG - Kipp Elementary DFW,"1545 S EWING AVE, DALLAS, TX",32.728142,-96.81286199,Sodexo,0
Anserteam @ Jackson Behavior Unit,"1695 NW 9TH AVE, MIAMI, FL",25.790794,-80.20953103,Sodexo,1
Sodexo @ Delta Sky Club FLL,"100 TERMINAL DR, FORT LAUDERDALE, FL",26.07298099,-80.14338298,Sodexo,0
Sodexo @ Miami Jewish Health,"5200 NE 2ND AVE, MIAMI, FL",25.82357101,-80.19258902,Sodexo,0
Sodexo @ Keyser University,"16120 US HIGHWAY 19 N, CLEARWATER, FL",27.91943501,-82.73157403,Sodexo,0
UT Southwestern (Sodexo),"6300 FOREST PARK RD, DALLAS, TX",32.8231439,-96.84454032,Sodexo,0
Anserteam @ Schlumberger- Sodexo,"1325 S. DAIRY ASHFORD, HOUSTON, TX",29.75540499,-95.60477703,Sodexo,0
Centerplate/Sodexo Indianapolis,"100 S CAPITOL AVE, INDIANAPOLIS, IN",39.76501601,-86.16448499,Sodexo,0
1 Wall Street 61930 RA B&I,"1 WALL ST, NEW YORK 39TH FLOOR, NEW YORK, NY",40.70755469,-74.0114712,Compass,0
1 Wall Street Catering 61931 RA B&I,"1 WALL ST, NEW YORK 39TH FLOOR, NEW YORK, NY",40.70755469,-74.0114712,Compass,0
1100 Virginia Cafe Starbucks,"1100 VIRGINIA DR, FORT WASHINGTON, PA",40.13964002,-75.17798201,Compass,0
1100 Virginia Off Premise Catering,"1100 VIRGINIA DR, FORT WASHINGTON, PA",40.13964002,-75.17798201,Compass,0
1250 Hutch Metro 62090 Flik,"1250 HUTCHINSON  METRO CENTER, BRONX, NY",40.853061,-73.838773,Compass,0
160 Restaurant 56708 Bon Appetit,"160 STATE STREET, LOS ALTOS, CA",37.380053,-122.116134,Compass,0
170 Pre Opening 56709 Bon Appetit,"170 STATE STREET, LOS ALTOS, CA",37.380053,-122.116134,Compass,0
170 State 46824 Bon Appetit,"170 STATE ST, LOS ALTOS, CA",37.380053,-122.116134,Compass,0
1703 Office 60830 SSC,"1703 N. BEAUREGARD ST, ALEXANDRIA, VA",38.83161201,-77.12267097,Compass,0
1845 Midpark Road SSC,"1845 MIDPARK ROAD, KNOXVILLE, TN",35.96285194,-84.01263718,Compass,0
1863 Banquet 57257 RA B&I,"267 UNION AVE, SARATOGA SPRINGS, NY",43.07856854,-73.77067723,Compass,0
1863 Club 56329 RA,"267 UNION AVE, SARATOGA SPRINGS, NY",43.07856854,-73.77067723,Compass,0
2010 B&I Budget Adj,"2400 YORKMONT RD, CHARLOTTE, NC",35.19024899,-80.92012296,Compass,0
220 Forest Street Cafe,"220 FOREST ST, MARLBOROUGH, MA",42.32980743,-71.57997983,Compass,0
222 North LaSalle 59712 Flik,"222 NORTH LASALLE, CHICAGO, IL",41.88653199,-87.63304899,Compass,0
23008 - Crothall Educ Unit CLOSING - NT,"2400 YORKMONT RD, CHARLOTTE, NC",35.19024899,-80.92012296,Compass,0
2400 Yorkmont Avenue C 58270 Corporate Income,"2400 YORKMONT RD, CHARLOTTE, NC",35.19024899,-80.92012296,Compass,0
2400 Yorkmont Pantry Service 58271 Corporate Income,"2400 YORKMONT RD, CHARLOTTE, NC",35.19024899,-80.92012296,Compass,0
2U Cafe,"7900 HARKIN RD, LANHAM, MD",38.95139058,-76.87284558,Compass,0
2U Catering,"7900 HARKIN RD, LANHAM, MD",38.95139058,-76.87284558,Compass,0
2U Coffee Bar,"7900 HARKIN RD, LANHAM, MD",38.95139058,-76.87284558,Compass,0
2U Pantry,"7900 HARKIN RD, LANHAM, MD",38.95139058,-76.87284558,Compass,0
2nd 25th Jud Dist ISF TX Comm 60137 (Trinity Corrections Sector),"2400 YORKMONT RD, CHARLOTTE, NC",35.19024899,-80.92012296,Compass,0
300 Convention Center Blvd Admin,"300 CONVENTION BLVD, SAN JUAN, PR",18.45488238,-66.09148719,Compass,0
317 Rice on Park Steakhouse Admin,"310 EAGLE ST, SAINT PAUL, MN",44.94221897,-93.10109565,Compass,0
350 Kitchen (formerly Linkedin 350 Rhode Island),"350 RHODE ISLAND ST, SAN FRANCISCO, CA",37.76539499,-122.403123,Compass,0
350 RI Custer,"1455 CUSTER ST, SAN FRANCISCO, CA",37.74464802,-122.388572,Compass,0
3500 Lacey Bar 60492 Eurest,"3500 LACEY ROAD, DOWNERS GROVE, IL",41.82274202,-88.031668,Compass,0
3M 222 C Store 56156 Eurest,"2501 HUDSON RD BUILDING 222, MAPLEWOOD, MN",44.95229199,-92.99525696,Compass,0
3M 222 Starbucks 56204 Eurest,"2501 HUDSON RD BUILDING 222, MAPLEWOOD, MN",44.95229199,-92.99525696,Compass,0
3M 275 C Store 56155 Eurest,"2501 HUDSON RD BUILDING 222, MAPLEWOOD, MN",44.95229199,-92.99525696,Compass,0
3M Austin 56143 Eurest,"13011 MCCALLEN PASS, AUSTIN, TX",30.41020999,-97.66176396,Compass,0
3M Cafe 216 56054 Eurest,"2501 HUDSON RD BUILDING 222, MAPLEWOOD, MN",44.95229199,-92.99525696,Compass,0
3M Cafe 222 56052 Eurest,"2501 HUDSON RD BUILDING 222, MAPLEWOOD, MN",44.95229199,-92.99525696,Compass,0
3M Cafe 230 56057 Eurest,"2501 HUDSON RD BUILDING 222, MAPLEWOOD, MN",44.95229199,-92.99525696,Compass,0
3M Cafe 235 56058 Eurest,"2501 HUDSON RD BUILDING 222, MAPLEWOOD, MN",44.95229199,-92.99525696,Compass,0
3M Cafe and Caribou 264 56056 Eurest,"2501 HUDSON RD BUILDING 222, MAPLEWOOD, MN",44.95229199,-92.99525696,Compass,0
3M Corporation,"NEW LAIR RD, CYNTHIANA, KY",38.35858594,-84.29716891,Compass,0
